,journal
10.1103/PhysRevB.1.2902,PRB
10.1103/PhysRevB.1.2847,PRB
10.1103/PhysRevB.1.3290,PRB
10.1103/PhysRevB.1.945,PRB
10.1103/PhysRevB.1.3588,PRB
10.1103/PhysRevB.1.4439,PRB
10.1103/PhysRevB.1.146,PRB
10.1103/PhysRevB.1.381,PRB
10.1103/PhysRevB.1.1858,PRB
10.1103/PhysRevB.1.3208,PRB
10.1103/PhysRevB.1.4589,PRB
10.1103/PhysRevB.1.4555,PRB
10.1103/PhysRevB.1.3953,PRB
10.1103/PhysRevB.1.3017,PRB
10.1103/PhysRevB.1.4191,PRB
10.1103/PhysRevB.1.1263,PRB
10.1103/PhysRevB.1.4584,PRB
10.1103/PhysRevB.1.2912,PRB
10.1103/PhysRevB.1.1345,PRB
10.1103/PhysRevB.1.1903,PRB
10.1103/PhysRevB.1.53,PRB
10.1103/PhysRevB.1.4099,PRB
10.1103/PhysRevB.1.882,PRB
10.1103/PhysRevB.1.208,PRB
10.1103/PhysRevB.1.2199,PRB
10.1103/PhysRevB.1.2623,PRB
10.1103/PhysRevB.1.1261,PRB
10.1103/PhysRevB.1.2164,PRB
10.1103/PhysRevB.1.3007,PRB
10.1103/PhysRevB.1.4496,PRB
10.1103/PhysRevB.1.896,PRB
10.1103/PhysRevB.1.3777,PRB
10.1103/PhysRevB.1.4330,PRB
10.1103/PhysRevB.1.4541,PRB
10.1103/PhysRevB.1.287,PRB
10.1103/PhysRevB.1.498,PRB
10.1103/PhysRevB.1.2332,PRB
10.1103/PhysRevB.1.582,PRB
10.1103/PhysRevB.1.1,PRB
10.1103/PhysRevB.1.776,PRB
10.1103/PhysRevB.1.3030,PRB
10.1103/PhysRevB.1.1390,PRB
10.1103/PhysRevB.1.2754,PRB
10.1103/PhysRevB.1.4228,PRB
10.1103/PhysRevB.1.2545,PRB
10.1103/PhysRevB.1.164,PRB
10.1103/PhysRevB.1.3922,PRB
10.1103/PhysRevB.1.352,PRB
10.1103/PhysRevB.1.4747,PRB
10.1103/PhysRevB.1.2854,PRB
10.1103/PhysRevB.1.2532,PRB
10.1103/PhysRevB.1.932,PRB
10.1103/PhysRevB.1.136,PRB
10.1103/PhysRevB.1.4358,PRB
10.1103/PhysRevB.1.3472,PRB
10.1103/PhysRevB.1.3713,PRB
10.1103/PhysRevB.1.3645,PRB
10.1103/PhysRevB.1.3671,PRB
10.1103/PhysRevB.1.4186,PRB
10.1103/PhysRevB.1.864,PRB
10.1103/PhysRevB.1.327,PRB
10.1103/PhysRevB.1.939,PRB
10.1103/PhysRevB.1.3636,PRB
